Ticket,Fare,Cabin
PC 17585,79.2,
110152,86.5,B77
PC 17755,512.3292,
230433,26.0,
384461,7.75,
347077,31.3875,
110413,79.65,E67
112059,0.0,B94
382649,7.75,
C.A. 17248,10.5,
3101295,39.6875,
347083,7.775,
PC 17582,153.4625,C125
PC 17760,135.6333,C99
113798,31.0,
LINE,0.0,
250644,19.5,
PC 17596,29.7,C118
370375,7.75,
13502,77.9583,D7
347073,7.75,
239853,0.0,
382652,29.125,
C.A. 2673,20.25,
336439,7.75,
347464,7.8542,
345778,9.5,
A/5. 10482,8.05,
113056,26.0,A19
349239,8.6625,
345774,9.5,
349206,7.8958,
237798,13.0,
370373,7.75,
19877,78.85,
11967,91.0792,B49
SC/Paris 2163,12.875,D
349236,8.85,
349233,7.8958,
PC 17612,27.7208,
2693,7.2292,
113781,151.55,C22 C26
19988,30.5,C106
PC 17558,247.5208,B58 B60
9234,7.75,
367226,23.25,
LINE,0.0,
226593,12.35,E101
A/5 2466,8.05,
113781,151.55,C22 C26
17421,110.8833,
PC 17758,108.9,C65
P/PP 3381,24.0,
PC 17485,56.9292,E36
11767,83.1583,C54
PC 17608,262.375,B57 B59 B63 B66
250651,26.0,
349243,7.8958,
F.C.C. 13529,26.25,
347470,7.8542,
244367,26.0,
29011,14.0,
36928,164.8667,C7
16966,134.5,E34
A/5 21172,7.25,
349219,7.8958,
234818,12.35,
248738,29.0,
CA. 2343,69.55,
PC 17760,135.6333,C32
345364,6.2375,
28551,13.0,D
363291,20.525,
111361,57.9792,B18
367226,23.25,
113043,28.5,C124
PC 17582,153.4625,C91
345764,18.0,
PC 17611,133.65,
349225,7.8958,
113776,66.6,C2
16966,134.5,E40
7598,8.05,
113784,35.5,T
230080,26.0,F2
19950,263.0,C23 C25 C27
248740,13.0,
244361,13.0,
229236,13.0,
248733,13.0,F33
31418,13.0,
386525,16.1,
C.A. 37671,15.9,
315088,8.6625,
7267,9.225,
113510,35.0,C128
2695,7.2292,
349237,17.8,
2647,7.225,
345783,9.5,
113505,55.0,E33
237671,13.0,
330931,7.8792,
330980,7.8792,
347088,27.9,
SC/PARIS 2167,27.7208,
2691,14.4542,
SOTON/O.Q. 3101310,7.05,
370365,15.5,
C 7076,7.25,
110813,75.25,D37
2626,7.2292,
14313,7.75,
PC 17477,69.3,B35
11765,55.4417,E50
3101267,6.4958,
323951,8.05,
PC 17760,135.6333,
349909,21.075,
PC 17604,82.1708,
C 7077,7.25,
113503,211.5,C82
2648,4.0125,
347069,7.775,
PC 17757,227.525,
2653,15.7417,
STON/O 2. 3101293,7.925,
113789,52.0,
349227,7.8958,
S.O.C. 14879,73.5,
CA 2144,46.9,
27849,13.0,
367655,7.7292,
SC 1748,12.0,
113760,120.0,B96 B98
350034,7.7958,
3101277,7.925,
35273,113.275,D36
PP 9549,16.7,G6
350052,7.7958,
350407,7.8542,
28403,26.0,
244278,10.5,
240929,12.65,
STON/O 2. 3101289,7.925,
341826,8.05,
4137,9.825,
STON/O2. 3101279,15.85,
315096,8.6625,
28664,21.0,
347064,7.75,
29106,18.75,
312992,7.775,
4133,25.4667,
349222,7.8958,
394140,6.8583,
19928,90.0,C78
239853,0.0,
STON/O 2. 3101269,7.925,
343095,8.05,
28220,32.5,
250652,13.0,
28228,13.0,
345773,24.15,
349254,7.8958,
A/5. 13032,7.7333,
315082,7.875,
347080,14.4,
370129,20.2125,
A/4. 34244,7.25,
2003,26.0,
250655,26.0,
364851,7.75,
SOTON/O.Q. 392078,8.05,E10
110564,26.55,C52
376564,16.1,
SC/AH 3085,26.0,
STON/O 2. 3101274,7.125,
13507,55.9,E44
113760,120.0,B96 B98
W./C. 6608,34.375,
29106,18.75,
19950,263.0,C23 C25 C27
C.A. 18723,10.5,
F.C.C. 13529,26.25,
345769,9.5,
347076,7.775,
230434,13.0,
65306,8.1125,
33638,81.8583,A34
250644,19.5,
113794,26.55,
2666,19.2583,
113786,30.5,C104
C.A. 34651,27.75,
65303,19.9667,
113051,27.75,C111
17453,89.1042,C92
A/5 2817,8.05,
349240,7.8958,
13509,26.55,E38
17464,51.8625,D21
F.C.C. 13531,10.5,
371060,7.75,
19952,26.55,E12
364506,8.05,
111320,38.5,E63
234360,13.0,
A/S 2816,8.05,
SOTON/O.Q. 3101306,7.05,
239853,0.0,
113792,26.55,
36209,7.725,
2666,19.2583,
323592,7.25,
315089,8.6625,
C.A. 34651,27.75,
SC/AH Basle 541,13.7917,D
7553,9.8375,
110465,52.0,A14
31027,21.0,
3460,7.0458,
350060,7.5208,
3101298,12.2875,
CA 2144,46.9,
239854,0.0,
A/5 3594,8.05,
4134,9.5875,
11967,91.0792,B49
4133,25.4667,
19943,90.0,C93
11771,29.7,B37
A.5. 18509,8.05,
C.A. 37671,15.9,
65304,19.9667,
SOTON/OQ 3101317,7.25,
113787,30.5,C30
PC 17609,49.5042,
A/4 45380,8.05,
2627,14.4583,
36947,78.2667,D20
C.A. 6212,15.1,
113781,151.55,C22 C26
350035,7.7958,
315086,8.6625,
364846,7.75,
330909,7.6292,
4135,9.5875,
110152,86.5,B79
PC 17758,108.9,C65
26360,26.0,
111427,26.55,
C 4001,22.525,
1601,56.4958,
382651,7.75,
SOTON/OQ 3101316,8.05,
PC 17473,26.2875,E25
PC 17603,59.4,
349209,7.4958,
36967,34.0208,D46
C.A. 34260,10.5,F33
371110,24.15,
226875,26.0,
349242,7.8958,
12749,93.5,B73
349252,7.8958,
2624,7.225,
111361,57.9792,B18
2700,7.2292,
367232,7.75,
W./C. 14258,10.5,
PC 17483,221.7792,C95
3101296,7.925,
29104,11.5,
26360,26.0,
2641,7.2292,
2690,7.2292,
2668,22.3583,
315084,8.6625,
F.C.C. 13529,26.25,
113050,26.55,B38
PC 17761,106.425,
364498,14.5,
13568,49.5,B39
WE/P 5735,71.0,B22
347082,31.275,
347082,31.275,
2908,26.0,
PC 17761,106.425,C86
693,26.0,
2908,26.0,
SC/PARIS 2146,13.8625,
363291,20.525,
C.A. 33112,36.75,
17421,110.8833,C70
244358,26.0,
330979,7.8292,
2620,7.225,
347085,7.775,
113807,26.55,
11755,39.6,A16
PC 17757,227.525,
110413,79.65,E67
345572,17.4,
372622,7.75,
349251,7.8958,
218629,13.5,
SOTON/OQ 392082,8.05,
SOTON/O.Q. 392087,8.05,
A/4 48871,24.15,
349205,7.8958,
349909,21.075,
2686,7.2292,
350417,7.8542,
S.W./PP 752,10.5,
11769,51.4792,C101
PC 17474,26.3875,E25
14312,7.75,
A/4. 20589,8.05,
358585,14.5,
243880,13.0,
13507,55.9,E44
2689,14.4583,
STON/O 2. 3101286,7.925,
237789,30.0,
17421,110.8833,C68
28403,26.0,
13049,40.125,A10
3411,8.7125,
110413,79.65,E68
237565,15.0,
13567,79.2,B41
14973,8.05,
A./5. 3235,8.05,
STON/O 2. 3101273,7.125,
36947,78.2667,D20
A/5 3902,7.25,
364848,7.75,
SC/AH 29037,26.0,
345773,24.15,
248727,33.0,
LINE,0.0,
2664,7.225,
PC 17485,56.9292,A20
243847,27.0,
349214,7.8958,
113796,42.4,
364511,8.05,
111426,26.55,
349910,15.55,
349246,7.8958,
113804,30.5,
SC/Paris 2123,41.5792,
PC 17582,153.4625,C125
347082,31.275,
SOTON/O.Q. 3101305,7.05,
367230,15.5,
370377,7.75,
364512,8.05,
220845,65.0,
347080,14.4,
A/5. 3336,16.1,
230136,39.0,F4
31028,10.5,
2659,14.4542,
11753,52.5542,D19
2653,15.7417,
350029,7.8542,
54636,16.1,
36963,32.3208,D50
219533,12.35,
13502,77.9583,D9
349224,7.8958,
334912,7.7333,
27042,30.0,A23
347743,7.0542,
13214,30.5,B50
112052,0.0,
347088,27.9,
237668,13.0,
STON/O 2. 3101292,7.925,
C.A. 31921,26.25,
3101295,39.6875,
376564,16.1,
350050,7.8542,
PC 17477,69.3,B35
347088,27.9,
1601,56.4958,
2666,19.2583,
PC 17572,76.7292,D33
349231,7.8958,
13213,35.5,A26
S.O./P.P. 751,7.55,
CA. 2314,7.55,
349221,7.8958,
231919,23.0,
8475,8.4333,
330919,7.8292,
365226,6.75,
S.O.C. 14879,73.5,
349223,7.8958,
364849,15.5,
29751,13.0,
35273,113.275,D48
PC 17611,133.65,
2623,7.225,
5727,25.5875,E58
349210,7.4958,
STON/O 2. 3101285,7.925,
S.O.C. 14879,73.5,
234686,13.0,
312993,7.775,
A/5 3536,8.05,
19996,52.0,C126
29750,39.0,
F.C. 12750,52.0,B71
C.A. 24580,10.5,
244270,13.0,
239856,0.0,
349912,7.775,
342826,8.05,
4138,9.8417,
CA 2144,46.9,
PC 17755,512.3292,B51 B53 B55
330935,8.1375,
PC 17572,76.7292,D49
6563,9.225,
CA 2144,46.9,
29750,39.0,
SC/Paris 2123,41.5792,
3101295,39.6875,
349228,10.1708,
350036,7.7958,
24160,211.3375,B5
17474,57.0,B20
349256,13.4167,
1601,56.4958,
2672,7.225,
113800,26.55,
248731,13.5,
363592,8.05,
35852,7.7333,
17421,110.8833,C68
348121,7.65,F G63
PC 17757,227.525,C62 C64
PC 17475,26.2875,E24
2691,14.4542,
36864,7.7417,
350025,7.8542,
250655,26.0,
223596,13.5,
PC 17476,26.2875,E24
113781,151.55,
2661,15.2458,
PC 17482,49.5042,C90
113028,26.55,C124
19996,52.0,C126
7545,9.4833,
250647,13.0,
348124,7.65,F G73
PC 17757,227.525,C45
34218,10.5,E101
36568,15.5,
347062,7.775,
248727,33.0,
350048,7.0542,
12233,13.0,
250643,13.0,
113806,53.1,E8
315094,8.6625,
31027,21.0,
36866,7.7375,
236853,26.0,
STON/O2. 3101271,7.925,
24160,211.3375,B5
2699,18.7875,
239855,0.0,
28425,13.0,
233639,13.0,
54636,16.1,
W./C. 6608,34.375,
PC 17755,512.3292,B101
349201,7.8958,
349218,7.8958,
16988,30.0,D45
19877,78.85,C46
PC 17608,262.375,B57 B59 B63 B66
376566,16.1,
STON/O 2. 3101288,7.925,
WE/P 5735,71.0,B22
C.A. 2673,20.25,
250648,13.0,
113773,53.1,D30
335097,7.75,
29103,23.0,
392096,12.475,E121
345780,9.5,
349204,7.8958,
220845,65.0,
250649,14.5,
350042,7.7958,
29108,11.5,
363294,8.05,
110152,86.5,B77
358585,14.5,
SOTON/O2 3101272,7.125,
2663,7.2292,
113760,120.0,B96 B98
347074,7.775,
13502,77.9583,D11
112379,39.6,
364850,7.75,
371110,24.15,
8471,8.3625,
345781,9.5,
350047,7.8542,
S.O./P.P. 3,10.5,E77
2674,7.225,
29105,23.0,
347078,7.75,
383121,7.75,F38
364516,12.475,
36865,7.7375,
24160,211.3375,B3
2687,7.2292,
17474,57.0,B20
113501,30.0,D6
W./C. 6607,23.45,
SOTON/O.Q. 3101312,7.05,
374887,7.25,
3101265,7.4958,
382652,29.125,
C.A. 2315,20.575,
PC 17593,79.2,B82 B84
12460,7.75,
239865,26.0,
CA. 2343,69.55,
PC 17600,30.6958,
349203,7.8958,
28213,13.0,
17465,25.9292,D17
349244,8.6833,
2685,7.2292,
345773,24.15,
250647,13.0,
C.A. 31921,26.25,
113760,120.0,B96 B98
2625,8.5167,
347089,6.975,
347063,7.775,
112050,0.0,A36
347087,7.775,
248723,13.0,
113806,53.1,E8
3474,7.8875,
A/4 48871,24.15,
28206,10.5,
347082,31.275,
364499,8.05,
112058,0.0,B102
STON/O2. 3101290,7.925,
S.C./PARIS 2079,37.0042,
C 7075,6.45,
347088,27.9,
12749,93.5,B69
315098,8.6625,
19972,0.0,
392096,12.475,E121
3101295,39.6875,
368323,6.95,
1601,56.4958,
S.C./PARIS 2079,37.0042,
367228,7.75,
113572,80.0,B28
2659,14.4542,
29106,18.75,
2671,7.2292,
347468,7.8542,
2223,8.3,
PC 17756,83.1583,E49
315097,8.6625,
392092,8.05,
1601,56.4958,
11774,29.7,C47
SOTON/O2 3101287,7.925,
S.O./P.P. 3,10.5,
113798,31.0,
2683,6.4375,
315090,8.6625,
C.A. 5547,7.55,
CA. 2343,69.55,
349213,7.8958,
248727,33.0,
17453,89.1042,C92
347082,31.275,
347060,7.775,
2678,15.2458,
PC 17592,39.4,D28
244252,26.0,
392091,9.35,
36928,164.8667,
113055,26.55,E17
2666,19.2583,
2629,7.2292,
350026,14.1083,
28134,11.5,
17466,25.9292,D17
CA. 2343,69.55,
233866,13.0,
236852,13.0,
SC/PARIS 2149,13.8583,
PC 17590,50.4958,A24
345777,9.5,
347742,11.1333,
349248,7.8958,
11751,52.5542,D35
695,5.0,B51 B53 B55
345765,9.0,
P/PP 3381,24.0,
2667,7.225,
7534,9.8458,
349212,7.8958,
349217,7.8958,
11767,83.1583,C50
230433,26.0,
349257,7.8958,
7552,10.5167,
C.A./SOTON 34068,10.5,
SOTON/OQ 392076,7.05,
382652,29.125,
211536,13.0,
112053,30.0,B42
W./C. 6607,23.45,
111369,30.0,C148
370376,7.75,
